respid,gender,edu,age,county,occupation
162,2,2,3,39,8
163,1,3,6,3,16
164,1,3,4,11,4
165,2,3,2,15,14
166,2,2,5,34,20
167,2,1,1,39,6
168,2,1,5,39,15
169,2,1,5,3,20
170,2,1,2,31,9
171,1,2,3,40,9
172,2,3,2,18,19
173,1,2,7,3,10
174,2,1,5,56,2
175,2,2,3,32,16
176,2,1,3,18,4
177,1,1,1,42,2
178,1,3,3,18,2
179,2,3,6,15,13
180,2,3,1,3,19
181,1,1,5,55,6
182,1,3,5,32,7
183,1,1,2,3,20
184,1,2,2,39,4
185,2,3,5,11,15
186,1,1,5,39,1
187,2,3,4,55,3
188,1,2,6,32,16
189,1,2,3,3,1
190,1,2,2,33,17
191,2,1,7,34,5
192,1,1,4,32,18
193,1,3,3,42,6
194,2,1,3,40,10
195,1,2,7,31,9
196,2,3,1,40,15
197,1,1,3,34,16
198,1,3,2,40,19
199,1,2,6,40,10
200,1,2,6,15,4
201,1,3,2,32,13
202,2,2,4,32,6
203,1,3,3,34,8
204,1,2,3,15,8
205,2,1,2,15,14
206,1,1,6,3,16
207,2,1,2,32,16
208,2,1,3,15,3
209,1,3,7,18,18
210,1,3,7,34,5
211,1,1,4,56,14
212,2,3,2,18,1
213,1,3,4,32,9
214,2,3,1,55,15
215,1,1,4,33,19
216,1,1,1,3,16
217,1,2,1,31,4
218,1,3,4,39,5
219,1,2,1,34,17
220,1,1,2,56,19
221,1,3,3,3,16
222,2,2,3,18,18
223,2,3,6,15,20
224,2,1,5,40,11
225,1,2,4,50,3
226,1,3,7,11,2
227,1,1,6,42,11
228,1,1,3,3,9
229,2,1,1,31,8
230,2,3,1,39,20
231,2,2,5,34,9
232,1,2,1,40,12
233,2,2,1,39,14
234,1,1,3,15,14
235,2,2,3,40,8
236,1,3,6,31,2
237,1,2,1,34,15
238,1,1,2,18,14
239,2,2,7,46,19
240,1,1,2,50,5
241,1,1,6,33,4
242,2,3,2,32,2
243,2,3,2,15,19
244,2,2,7,31,1
245,2,2,6,40,11
246,1,1,2,55,13
247,2,1,1,31,16
248,1,3,4,11,15
249,1,1,7,3,3
250,2,3,7,31,18
251,1,2,7,50,7
252,2,3,6,42,14
253,1,3,7,46,2
254,1,2,2,56,10
255,2,3,1,56,3
256,1,1,5,42,11
257,1,1,5,56,20
258,1,2,4,11,17
259,1,3,3,34,12
260,2,1,4,34,4
261,2,3,2,32,19
262,1,3,4,3,8
263,2,3,6,39,18
264,2,3,4,56,16
265,1,3,5,31,20
266,1,2,5,56,10
267,1,1,6,42,13
268,1,1,1,3,6
269,1,1,5,31,12
270,2,3,4,11,17
271,1,2,7,42,10
272,1,3,6,33,7
273,2,2,1,11,1
274,2,3,2,11,11
275,1,2,5,11,4
276,2,2,7,56,6
277,2,3,5,11,3
278,1,2,2,18,20
279,1,2,6,50,1
280,2,1,2,11,19
281,2,2,7,50,18
282,2,2,7,31,1
283,2,3,2,55,16
284,2,1,5,11,6
285,2,2,7,34,15
286,2,1,7,11,8
287,1,1,7,33,4
288,1,3,5,11,9
289,1,3,7,34,1
290,1,2,5,33,17
291,2,2,1,18,8
292,1,3,5,18,6
293,1,1,4,42,13
294,1,1,5,40,19
295,2,2,5,34,11
296,2,2,1,3,12
297,2,1,1,31,16
298,2,1,6,46,11
299,1,3,6,42,5
300,1,3,3,39,20
301,1,1,4,31,9
302,2,2,3,56,6
303,2,2,3,32,20
304,1,2,3,50,5
305,1,3,2,39,7
306,1,2,3,40,11
307,1,3,6,31,5
308,2,2,5,40,8
309,2,3,3,40,11
310,1,1,1,18,13
311,1,2,1,15,4
312,2,3,3,34,7
313,1,1,4,32,10
314,2,2,2,40,13
315,2,3,4,34,4
316,1,2,7,11,12
317,1,1,6,40,7
318,1,3,1,50,1
319,1,3,2,31,2
320,2,2,6,32,18
321,2,2,3,39,16
322,1,1,7,56,7
323,2,3,1,18,12
324,1,1,3,15,13
325,2,2,1,40,5
326,1,1,7,15,20
327,2,3,7,55,3
328,1,2,7,33,15
329,2,3,5,33,1
330,1,2,4,18,7
331,2,2,3,42,19
332,1,3,6,31,1
333,2,3,7,15,4
334,1,2,6,40,19
335,1,1,4,42,13
336,1,2,1,42,5
337,1,3,5,11,12
338,2,2,4,33,17
339,2,3,6,40,2
340,1,2,4,56,10
341,2,2,1,39,2
342,2,2,2,11,16
343,1,2,6,46,4
344,1,3,6,56,3
345,2,3,6,31,11
346,1,3,3,40,14
347,1,1,2,34,6
348,1,2,6,40,15
349,2,1,2,34,16
350,1,1,3,32,6
351,1,1,3,32,5
352,1,2,7,11,13
353,1,1,5,39,1
354,1,2,2,31,4
355,1,1,1,11,10
356,2,2,2,55,3
357,2,1,3,15,4
358,1,1,5,55,11
359,1,1,6,32,1
360,2,3,5,50,20
361,1,3,7,42,13
362,2,2,1,11,8
363,2,3,7,32,11
364,1,3,3,56,19
365,1,2,1,56,4
366,2,2,7,3,14
367,2,2,1,11,18
368,2,3,4,34,1
369,2,2,7,42,11
370,2,1,4,50,18
371,1,2,5,40,2
372,2,1,4,31,12
373,2,2,1,11,2
374,2,2,1,11,11
375,2,1,7,32,8
376,1,1,2,11,19
377,2,1,4,42,20
378,1,3,2,11,14
379,1,1,1,32,17
380,1,1,2,39,15
381,1,2,5,31,3
382,2,2,5,3,16
383,1,3,7,3,11
384,1,2,4,15,10
385,2,1,7,40,5
386,1,3,6,39,13
387,1,3,3,39,3
388,1,3,7,46,19
389,2,1,7,40,13
390,1,3,3,11,3
391,2,3,5,33,1
392,2,3,3,39,12
393,1,3,3,42,20
394,1,1,7,39,5
395,1,2,7,50,12
396,2,2,4,33,20
397,2,2,1,46,13
398,2,1,4,15,9
399,2,3,4,42,19
400,1,3,4,56,1
401,2,3,3,56,4
402,1,1,7,11,2
403,2,2,6,11,16
404,2,3,6,55,6
405,1,3,1,11,18
406,1,3,1,42,2
407,2,3,5,39,14
408,1,1,5,31,4
409,2,1,4,50,8
410,2,3,2,15,10
411,1,3,4,40,19
412,1,2,4,56,3
413,1,1,5,3,20
414,2,1,4,55,20
415,2,2,6,42,6
416,2,3,2,33,1
417,1,1,5,18,1
418,2,3,7,34,20
419,2,2,2,3,6
420,1,2,6,3,6
421,2,3,3,42,20
422,1,2,3,50,9
423,2,2,7,46,19
424,1,2,4,15,6
425,1,2,3,39,12
426,1,2,7,11,18
427,1,2,7,34,19
428,1,2,1,50,9
429,1,2,1,39,3
430,2,3,1,55,15
431,2,1,5,50,19
432,2,3,2,50,17
433,2,3,4,50,8
434,2,1,2,40,13
435,1,2,6,32,14
436,2,2,2,15,2
437,1,1,6,34,1
438,1,3,6,46,1
439,2,2,1,11,10
440,2,2,2,32,16
441,2,3,1,32,9
442,1,1,4,56,17
443,1,3,4,39,7
444,2,1,1,18,6
445,1,1,5,40,8
446,1,1,6,39,13
447,1,2,6,39,19
448,2,1,5,40,1
449,2,3,3,31,15
450,2,1,5,33,4
451,2,3,1,50,5
452,2,3,5,39,17
453,2,1,3,15,3
454,2,3,7,11,14
455,2,2,1,32,18
456,1,3,4,42,9
457,2,2,7,42,7
458,2,1,1,32,8
459,2,1,5,42,16
460,2,3,5,15,2
461,1,3,7,40,10
462,1,2,6,32,13
463,1,2,6,50,13
464,2,1,1,40,18
465,1,1,5,46,2
466,1,3,7,55,2
467,2,2,7,40,6
468,1,2,1,3,1
469,1,3,7,31,16
470,1,1,2,50,11
471,1,2,5,15,9
472,2,2,6,15,12
473,2,1,6,3,7
474,1,3,6,32,5
475,1,2,3,55,7
476,2,3,3,40,10
477,2,2,5,40,2
478,2,1,4,11,14
479,2,3,1,56,9
480,1,3,6,56,10
481,2,2,4,31,10
482,2,1,5,31,17
483,2,1,4,50,15
484,1,2,1,39,10
485,2,1,5,31,17
486,2,3,4,46,9
487,2,2,1,31,20
488,1,2,5,42,8
489,1,1,6,31,7
490,2,2,3,15,8
491,2,2,1,31,6
492,1,1,4,15,11
493,2,1,2,11,11
494,2,3,6,3,13
495,1,3,5,56,8
496,2,2,2,33,6
497,2,1,1,3,9
498,1,2,5,15,19
499,1,2,6,34,4
500,1,2,2,46,20
501,2,1,4,39,14
502,1,1,1,11,6
503,2,2,3,42,16
504,1,1,6,32,20
505,1,1,6,18,1
506,1,2,6,50,18
507,2,3,1,3,12
508,1,1,3,40,11
509,1,1,5,46,3
510,1,1,5,40,19
511,1,3,4,11,5
512,2,3,1,31,10
513,1,1,7,55,4
514,1,2,7,34,9
515,1,3,2,11,4
516,1,3,7,55,7
517,2,1,2,39,16
518,1,3,4,31,16
519,2,1,1,3,4
520,2,3,5,42,2
521,1,1,6,11,5
522,1,2,4,11,10
523,1,2,1,18,9
524,1,3,1,55,14
525,1,3,5,42,19
526,2,2,3,42,18
527,1,3,7,33,15
528,1,3,2,18,7
529,1,3,2,40,10
530,2,3,4,39,4
531,1,3,6,42,6
532,2,1,1,32,19
533,1,3,7,56,19
534,2,1,6,56,3
535,1,3,2,11,7
536,1,2,6,42,15
537,2,3,2,50,16
538,1,2,4,34,1
539,2,1,5,55,12
540,2,2,7,3,5
541,2,1,6,32,12
542,1,1,7,39,12
543,2,3,3,18,17
544,2,1,3,50,8
545,1,1,1,55,3
546,1,3,3,46,6
547,1,1,6,50,18
548,1,2,4,18,20
549,2,2,5,11,10
550,2,3,3,50,7
551,2,2,7,55,11
552,1,1,7,55,18
553,1,1,6,3,5
554,2,3,5,46,18
555,1,1,6,18,1
556,2,3,6,18,8
557,1,1,4,55,13
558,2,1,3,50,19
559,2,1,1,33,5
560,2,2,1,11,20
561,1,2,4,3,8
562,2,1,5,34,10
563,2,2,6,40,7
564,1,3,1,40,2
565,2,1,2,32,4
566,1,2,4,33,6
567,1,3,5,3,16
568,2,3,1,18,13
569,1,1,5,33,10
570,2,2,1,18,10
571,1,3,1,40,4
572,1,1,1,11,13
573,2,2,2,33,5
574,1,3,2,32,16
575,1,3,5,42,7
576,1,3,4,31,4
577,2,2,4,50,20
578,1,1,6,3,19
579,1,2,3,55,1
580,2,2,7,50,4
581,1,3,5,34,4
582,2,2,4,31,18
583,2,2,7,50,13
584,2,2,4,39,14
585,2,2,7,56,13
586,2,3,6,46,15
587,2,1,6,39,5
588,2,2,5,56,10
589,1,1,6,34,18
590,2,2,4,34,4
591,2,2,6,42,6
592,2,3,6,40,8
593,1,2,7,3,6
594,1,3,3,15,12
595,1,3,3,39,11
596,1,3,6,34,2
597,1,2,6,31,18
598,1,2,7,56,8
599,1,2,5,50,10
600,1,1,4,15,13
601,1,3,1,46,10
602,2,1,1,3,11
603,1,1,4,3,5
604,2,3,2,18,18
605,2,2,2,34,8
606,2,1,3,3,17
607,1,3,5,33,12
608,2,2,6,56,9
609,2,1,3,3,17
610,2,1,5,39,4
611,2,2,7,34,1
612,2,3,6,3,16
613,2,2,2,15,16
614,2,1,2,46,10
615,2,1,7,18,17
616,2,2,7,55,6
617,1,1,7,56,16
618,1,3,4,31,9
619,1,2,3,42,20
620,2,1,2,3,13
621,2,2,7,34,15
622,2,3,7,39,3
623,2,1,3,56,17
624,1,1,7,32,5
625,2,1,4,11,11
626,1,3,5,55,14
627,1,1,2,46,1
628,1,2,7,55,18
629,1,3,1,34,14
630,2,1,2,15,19
631,1,1,3,31,4
632,1,1,7,50,18
633,2,2,7,18,16
634,1,3,3,18,5
635,1,3,3,33,20
636,2,3,2,3,17
637,1,1,7,18,14
638,2,1,2,40,12
639,1,1,6,11,19
640,1,1,1,40,10
641,1,1,2,11,3
642,2,2,7,42,9
643,1,2,5,31,6
644,1,3,3,18,5
645,1,2,5,40,6
646,2,1,2,40,16
647,2,2,4,15,8
648,2,3,5,32,17
649,2,3,6,32,8
650,1,3,6,50,4
651,2,1,4,34,19
652,1,3,2,55,17
653,2,2,4,15,9
654,1,3,6,56,8
655,1,3,6,55,16
656,2,3,7,32,5
657,2,1,5,34,17
658,2,2,5,32,11
659,1,3,1,11,3
660,1,3,5,3,1
661,2,1,6,40,18
662,1,2,5,18,2
663,1,1,5,40,18
664,2,1,6,40,10
665,1,2,3,55,13
666,1,2,1,56,11
667,1,2,6,34,1
668,1,3,3,42,3
669,1,3,4,18,2
670,2,1,7,18,9
671,2,1,3,46,7
672,1,1,3,11,12
673,1,1,6,46,8
674,2,2,1,55,4
675,1,1,7,55,20
676,2,1,1,55,10
677,1,1,4,50,12
678,1,2,7,40,7
679,2,1,2,33,2
680,2,2,7,11,10
681,2,2,1,31,15
682,2,3,2,56,15
683,2,1,4,46,20
684,2,2,4,32,11
685,2,1,2,15,3
686,2,1,1,50,13
687,1,1,6,40,19
688,1,3,3,31,1
689,2,3,7,46,18
690,2,1,4,11,18
691,1,2,6,32,3
692,2,1,7,39,10
693,2,1,4,33,7
694,1,3,6,34,9
695,1,2,7,55,11
696,2,1,3,56,2
697,1,1,2,11,20
698,2,1,1,34,16
699,1,3,6,34,18
700,2,2,3,46,11
701,2,1,7,31,4
702,1,2,6,50,10
703,2,1,6,18,6
704,1,2,7,3,9
705,1,2,7,34,3
706,2,2,2,39,20
707,1,2,4,33,18
708,1,2,2,39,7
709,1,1,6,33,13
710,2,1,2,32,17
711,1,2,3,46,6
712,1,3,3,34,16
713,1,3,2,42,8
714,2,3,2,50,1
715,1,2,3,15,1
716,2,1,2,39,18
717,1,1,4,15,14
718,1,2,4,31,15
719,2,2,1,42,17
720,2,1,4,50,14
721,2,3,7,46,2
722,2,2,4,40,17
723,1,1,2,56,7
724,2,2,4,42,1
725,1,2,6,32,3
726,1,1,1,42,11
727,2,3,3,34,9
728,1,1,2,42,3
729,2,3,1,31,5
730,1,3,5,3,7
731,2,1,3,40,8
732,1,3,2,31,15
733,1,3,5,15,6
734,1,2,2,46,15
735,2,3,4,11,1
736,1,1,1,3,4
737,1,3,5,34,12
738,2,2,3,31,10
739,1,2,2,50,13
740,1,3,4,15,3
741,2,1,2,3,10
742,1,2,6,32,11
743,1,1,3,55,12
744,1,1,1,42,2
745,1,1,4,46,16
746,1,2,6,15,17
747,1,1,3,18,16
748,1,3,3,42,1
749,1,3,6,34,20
750,1,2,7,15,1
751,2,3,2,56,15
752,2,3,1,55,7
753,1,1,6,40,8
754,2,1,1,18,1
755,2,2,7,3,1
756,1,3,6,31,7
757,1,3,5,31,16
758,1,2,7,32,8
759,2,3,1,42,19
760,2,2,3,34,8
761,1,3,4,31,7
762,1,3,3,15,16
763,1,3,4,50,2
764,1,2,5,18,1
765,1,3,2,15,20
766,2,2,4,46,1
767,1,1,2,3,2
768,2,1,3,31,5
769,1,2,6,33,10
770,2,3,2,39,17
771,1,3,5,39,3
772,1,3,6,18,20
773,2,3,3,46,12
774,2,1,3,31,18
775,1,2,6,3,16
776,1,1,6,15,6
777,2,1,4,15,12
778,2,2,3,55,7
779,1,1,2,39,13
780,1,1,7,42,1
781,1,3,7,18,6
782,1,2,5,31,15
783,2,1,6,31,17
784,2,2,1,50,9
785,2,3,3,50,3
786,1,1,4,33,15
787,2,1,6,40,14
788,1,3,6,3,18
789,2,3,3,40,20
790,2,1,1,31,2
791,2,3,1,31,20
792,2,2,5,50,5
793,2,1,4,34,12
794,2,3,5,40,14
795,2,3,6,55,12
796,2,2,2,33,9
797,1,3,4,33,5
798,2,1,1,56,1
799,2,1,6,34,18
800,2,1,5,55,5
801,1,3,6,50,2
802,2,1,7,46,13
803,2,3,4,18,10
804,2,1,3,11,17
805,2,3,3,15,10
806,2,2,6,18,20
807,2,1,7,33,17
808,2,1,4,55,10
809,2,1,5,3,18
810,2,2,4,50,5
811,2,1,7,33,4
812,1,1,7,50,20
813,1,2,6,42,16
814,1,2,6,15,1
815,2,2,1,3,20
816,1,3,6,34,7
817,2,3,6,42,4
818,1,3,1,50,1
819,2,2,3,46,20
820,1,2,7,34,17
821,2,2,6,15,8
822,1,1,7,34,13
823,1,3,2,50,13
824,2,2,2,46,7
825,2,2,7,55,20
826,2,3,1,56,11
827,1,1,6,50,13
828,2,1,5,33,20
829,1,1,5,31,13
830,1,1,1,56,18
831,2,2,4,50,7
832,1,3,2,40,15
833,2,2,4,50,9
834,2,3,4,34,15
835,1,3,5,33,17
836,1,2,4,56,6
837,1,2,7,50,13
838,1,1,4,55,12
839,1,3,5,11,11
840,2,2,1,11,17
841,2,2,7,34,11
842,1,3,4,39,7
843,2,1,3,50,13
844,2,1,5,50,10
845,2,3,5,50,19
846,2,2,3,39,12
847,2,2,1,18,9
848,1,2,5,11,6
849,2,1,2,42,3
850,2,2,3,3,17
851,2,1,4,3,3
852,1,3,3,34,2
853,2,1,2,40,1
854,2,3,3,34,20
855,1,2,1,55,13
856,1,2,5,3,16
857,2,3,3,55,1
858,2,2,1,42,11
859,2,1,2,46,14
860,1,3,5,33,10
861,2,3,6,46,20
862,1,2,6,39,6
863,1,1,1,34,2
864,2,2,3,3,7
865,2,2,6,42,12
866,2,3,5,55,2
867,2,2,7,42,10
868,2,3,7,40,19
869,2,2,4,46,17
870,1,3,7,50,7
871,1,3,7,11,20
872,2,2,4,32,17
873,1,2,4,50,7
874,1,1,6,56,13
875,2,1,7,34,7
876,2,1,7,11,2
877,1,2,1,33,8
878,2,1,1,46,4
879,1,2,2,42,5
880,1,2,5,56,20
881,2,3,1,40,18
882,2,2,6,56,14
883,2,2,7,55,17
884,1,1,7,40,2
885,2,2,4,11,16
886,2,2,1,56,2
887,1,1,5,39,3
888,1,2,6,11,20
889,2,2,7,46,16
890,1,1,7,46,9
891,2,3,2,31,13
892,2,1,5,3,15
893,1,3,5,32,9
894,2,3,3,42,3
895,2,1,5,42,10
896,1,2,7,50,19
897,1,3,6,56,5
898,1,2,7,11,20
899,2,3,2,15,18
900,1,3,2,40,15
901,1,2,4,15,10
902,2,2,5,55,10
903,1,3,7,32,15
904,2,3,6,31,18
905,2,3,6,42,1
906,1,1,2,3,10
907,2,3,3,40,9
908,2,3,7,50,6
909,1,3,3,32,11
910,1,2,3,11,10
911,1,2,6,34,20
912,1,3,6,40,20
913,2,3,3,39,18
914,2,1,6,3,9
915,1,1,6,40,3
916,2,2,6,18,20
917,1,2,5,31,2
918,2,3,6,31,3
919,1,1,3,55,2
920,2,1,6,33,7
921,1,2,1,40,20
922,2,3,4,55,1
923,1,2,3,56,19
924,1,1,4,15,15
925,1,2,6,3,18
926,1,2,6,46,5
927,2,1,7,39,16
928,1,1,1,34,13
929,1,1,3,33,17
930,1,1,5,56,18
931,1,1,3,3,2
932,1,3,5,15,6
933,1,3,2,3,17
934,2,1,6,11,14
935,2,1,3,34,20
936,1,2,5,34,1
937,2,2,2,50,7
938,2,1,2,42,13
939,1,3,3,15,11
940,1,1,7,55,5
941,1,2,4,3,3
942,2,1,6,34,1
943,2,3,4,56,19
944,2,3,1,42,2
945,2,3,6,40,12
946,2,1,6,31,11
947,2,1,6,11,7
948,2,2,7,11,20
949,1,1,4,46,10
950,2,2,1,50,3
951,2,1,7,32,8
952,1,3,6,42,9
953,1,3,4,39,16
954,2,1,3,11,15
955,2,2,1,40,13
956,1,1,5,40,11
957,2,3,1,40,13
958,2,2,6,50,12
959,1,1,6,18,20
960,1,2,6,55,14
961,2,3,4,50,15
962,2,3,7,33,4
963,2,3,4,39,18
964,2,2,1,39,13
965,2,3,4,34,8
966,2,3,3,33,9
967,2,3,1,32,13
968,1,3,3,11,2
969,1,3,1,42,9
970,2,2,5,55,20
971,2,2,5,33,18
972,2,2,6,40,7
973,2,2,7,11,3
974,2,2,4,42,8
975,1,3,7,46,15
976,2,3,5,33,19
977,2,2,3,32,5
978,2,1,3,55,4
979,1,3,5,50,18
980,2,2,4,31,15
981,2,1,6,56,7
982,1,3,1,3,7
983,1,1,1,33,10
984,2,1,5,40,9
985,1,1,1,32,7
986,1,2,2,40,16
987,1,3,7,42,1
988,1,3,5,46,9
989,2,2,6,42,18
990,1,3,1,46,3
991,2,2,6,33,17
992,2,2,7,39,3
993,2,3,1,56,11
994,1,2,4,33,7
995,2,2,1,46,3
996,1,3,3,15,12
997,1,2,3,34,8
998,2,3,3,46,6
999,1,1,5,50,18
1000,2,2,1,31,9
1001,2,3,6,18,18
1002,1,1,1,50,5
1003,1,3,1,40,16
1004,1,2,3,15,18
1005,2,3,7,46,2
1006,1,1,6,11,7
1007,1,2,1,32,13
1008,2,3,1,34,2
1009,1,3,6,32,15
1010,1,2,6,50,20
1011,1,3,1,50,6
1012,1,2,3,33,20
1013,1,2,5,18,3
1014,2,2,2,11,20
1015,1,1,2,31,16
1016,1,2,7,31,14
1017,1,2,7,18,12
1018,2,1,5,39,19
1019,1,2,4,42,4
1020,1,1,1,42,15
1021,2,2,1,15,3
1022,1,1,7,56,4
1023,1,2,4,15,12
1024,2,1,5,33,5
1025,1,1,3,33,2
1026,1,2,5,34,1
1027,1,2,2,56,15
1028,1,2,7,34,20
1029,2,1,4,32,1
1030,1,2,6,33,15
1031,1,2,4,34,12
1032,1,3,1,56,5
1033,1,3,2,11,13
1034,2,1,2,46,5
1035,2,3,6,42,9
1036,1,3,7,40,11
1037,1,2,3,18,3
1038,2,1,7,50,9
1039,2,1,1,46,19
1040,1,3,1,32,17
1041,2,1,1,32,12
1042,1,1,3,55,19
1043,2,3,3,39,13
1044,2,3,7,32,8
1045,2,1,5,34,3
1046,1,2,3,31,13
1047,2,2,1,56,19
1048,2,1,6,32,18
1049,2,2,2,56,9
1050,1,1,2,32,17
1051,1,1,6,56,19
1052,2,3,5,3,8
1053,1,1,6,46,17
1054,2,3,1,42,1
1055,2,3,2,42,20
1056,1,2,7,33,11
1057,2,3,6,34,2
1058,1,2,4,42,6
1059,1,2,2,33,17
1060,2,1,2,40,16
1061,2,2,7,56,19
1062,1,1,7,34,17
1063,1,2,5,15,7
1064,1,1,4,42,14
1065,1,3,2,42,17
1066,2,3,4,34,13
1067,2,1,7,11,6
1068,2,1,2,32,8
1069,1,3,1,39,1
1070,1,1,1,42,20
1071,1,1,6,39,14
1072,2,2,2,40,12
1073,2,3,1,18,19
1074,1,3,4,3,13
1075,1,1,1,31,12
1076,2,1,3,55,14
1077,2,1,7,32,15
1078,2,3,2,11,8
1079,2,2,5,39,20
1080,2,1,2,39,3
1081,2,2,1,46,9
1082,1,1,7,55,1
1083,1,3,1,46,17
1084,1,2,5,42,17
1085,1,1,7,15,4
1086,2,2,7,55,19
1087,2,2,2,32,16
1088,2,3,3,31,3
1089,1,3,4,55,4
1090,2,1,1,56,5
1091,1,1,7,40,15
1092,2,1,5,15,2
1093,1,3,4,42,19
1094,1,1,6,56,1
1095,1,3,6,33,9
1096,2,1,6,55,15
1097,2,3,7,18,18
1098,2,1,4,15,14
1099,2,3,7,56,6
1100,2,3,5,18,18
1101,2,3,5,50,18
1102,1,3,3,42,14
1103,1,3,7,31,11
1104,2,2,7,46,20
1105,2,3,2,31,5
1106,2,3,5,31,5
1107,1,2,6,31,9
1108,1,3,3,40,2
1109,1,2,7,32,20
1110,2,2,3,18,1
1111,1,3,2,3,14
1112,2,1,5,55,2
1113,2,3,7,39,13
1114,1,2,6,31,6
1115,1,1,1,55,7
1116,1,1,2,11,7
1117,1,3,5,55,9
1118,1,1,6,32,18
1119,1,2,4,42,6
1120,1,2,4,55,13
1121,2,1,6,42,17
1122,2,2,7,40,13
1123,1,1,5,11,7
1124,1,3,4,18,6
1125,2,1,6,34,19
1126,2,3,1,15,18
1127,2,1,7,56,7
1128,1,1,3,3,15
1129,1,3,3,32,15
1130,1,3,2,18,7
1131,1,1,2,15,18
1132,1,1,5,39,7
1133,2,1,7,33,4
1134,2,3,1,50,6
1135,2,2,4,32,12
1136,1,2,6,32,17
1137,2,3,3,34,13
1138,1,1,7,55,1
1139,1,2,1,33,19
1140,1,2,1,40,6
1141,1,1,5,50,13
1142,2,3,4,56,19
1143,2,1,4,39,10
1144,2,1,5,15,8
1145,1,1,7,33,1
1146,1,3,2,39,4
1147,1,3,7,31,4
1148,2,2,2,50,8
1149,1,3,2,33,10
1150,2,3,7,18,6
1151,1,2,6,33,2
